Rule ID,Antecedent,Consequent,Antecedent Coverage %,Antecedent Coverage,Support %,Support,Confidence,Leverage,Lift,p-value,Consequent Coverage %,Consequent Coverage
58,field9 = Male & field3 = Bachelors,field12 = >50K,0.11474,3736,0.0578,1882,0.50375,0.03017,2.09189,8.86E-95,0.24081,7841
59,field9 = Male & field2 = Federal-gov,field12 = >50K,0.01981,645,0.00967,315,0.48837,0.0049,2.02804,8.35E-22,0.24081,7841
00005a,field6 = Exec-managerial,field12 = >50K,0.12487,4066,0.06044,1968,0.48401,0.03037,2.00994,1.85E-289,0.24081,7841
00005b,field1 = Age32-40 & field4 = EduNum13,field12 = >50K,0.04441,1446,0.02138,696,0.48133,0.01068,1.99879,1.25E-09,0.24081,7841
00005c,field1 = Age32-40 & field3 = Bachelors,field12 = >50K,0.04441,1446,0.02138,696,0.48133,0.01068,1.99879,1.25E-09,0.24081,7841
00005d,field7 = Wife,field12 = >50K,0.04816,1568,0.02288,745,0.47513,0.01128,1.97304,2.04E-95,0.24081,7841
00005e,field9 = Male & field1 = Age41-50,field12 = >50K,0.15138,4929,0.0703,2289,0.46439,0.03385,1.92847,5.42E-120,0.24081,7841
00005f,field9 = Male & field10 = Hour51-70,field12 = >50K,0.08182,2664,0.03771,1228,0.46096,0.01801,1.91421,2.88E-24,0.24081,7841
60,field11 = United-States & field5 = Married-civ-spouse,field12 = >50K,0.41055,13368,0.18786,6117,0.45759,0.089,1.9002,9.66E-15,0.24081,7841
61,field11 = United-States & field7 = Husband,field12 = >50K,0.36427,11861,0.16661,5425,0.45738,0.07889,1.89935,5.92E-10,0.24081,7841
62,field9 = Male & field1 = Age51-60,field12 = >50K,0.09146,2978,0.04171,1358,0.45601,0.01968,1.89366,3.01E-73,0.24081,7841
63,field8 = White & field5 = Married-civ-spouse,field12 = >50K,0.41184,13410,0.18749,6105,0.45526,0.08832,1.89053,6.53E-10,0.24081,7841
