Rule ID,Antecedent,Consequent,Antecedent Coverage %,Antecedent Coverage,Support %,Support,Confidence,Leverage,Lift,p-value,Consequent Coverage %,Consequent Coverage
14,field7 = Husband & field4 = EduNum13,field12 = >50K,0.07472,2433,0.05055,1646,0.67653,0.03256,2.8094,7.77E-286,0.24081,7841
15,field5 = Married-civ-spouse & field6 = Prof-specialty,field12 = >50K,0.06529,2126,0.04628,1507,0.70884,0.03056,2.94358,8.24E-277,0.24081,7841
16,field6 = Exec-managerial,field12 = >50K,0.12487,4066,0.06044,1968,0.48401,0.03037,2.00994,1.85E-289,0.24081,7841
17,field9 = Male & field6 = Exec-managerial,field12 = >50K,0.08928,2907,0.05184,1688,0.58067,0.03034,2.41131,2.74E-88,0.24081,7841
18,field9 = Male & field4 = EduNum13,field12 = >50K,0.11474,3736,0.0578,1882,0.50375,0.03017,2.09189,8.86E-95,0.24081,7841
19,field9 = Male & field3 = Bachelors,field12 = >50K,0.11474,3736,0.0578,1882,0.50375,0.03017,2.09189,8.86E-95,0.24081,7841
00001a,field7 = Husband & field6 = Exec-managerial,field12 = >50K,0.06717,2187,0.04619,1504,0.6877,0.03002,2.85578,2.31E-179,0.24081,7841
00001b,field1 = Age41-50,field12 = >50K,0.21446,6983,0.08154,2655,0.38021,0.0299,1.57888,1.85E-193,0.24081,7841
00001c,field8 = White & field1 = Age41-50,field12 = >50K,0.18286,5954,0.07319,2383,0.40024,0.02915,1.66204,1.66E-17,0.24081,7841
00001d,field11 = United-States & field8 = White & field1 = Age41-50,field12 = >50K,0.16876,5495,0.0695,2263,0.41183,0.02886,1.71019,6.63E-11,0.24081,7841
00001e,field4 = EduNum13,field12 = >50K,0.16446,5355,0.06821,2221,0.41475,0.02861,1.72233,7.19E-212,0.24081,7841
00001f,field3 = Bachelors,field12 = >50K,0.16446,5355,0.06821,2221,0.41475,0.02861,1.72233,7.19E-212,0.24081,7841
20,field8 = White & field3 = Bachelors,field12 = >50K,0.14379,4682,0.06188,2015,0.43037,0.02726,1.78719,3.49E-10,0.24081,7841
21,field8 = White & field4 = EduNum13,field12 = >50K,0.14379,4682,0.06188,2015,0.43037,0.02726,1.78719,3.49E-10,0.24081,7841
22,field6 = Prof-specialty,field12 = >50K,0.12715,4140,0.05709,1859,0.44903,0.02647,1.86468,6.61E-220,0.24081,7841
23,field9 = Male & field6 = Prof-specialty,field12 = >50K,0.08062,2625,0.04527,1474,0.56152,0.02586,2.33182,1.56E-84,0.24081,7841
24,field7 = Husband & field6 = Prof-specialty,field12 = >50K,0.0554,1804,0.03919,1276,0.70732,0.02585,2.93725,2.04E-195,0.24081,7841
25,field11 = United-States & field8 = White & field10 = Hour36-50,field12 = >50K,0.52821,17199,0.15058,4903,0.28507,0.02338,1.18382,1.24E-14,0.24081,7841
26,field5 = Married-civ-spouse & field1 = Age51-60,field12 = >50K,0.08065,2626,0.04109,1338,0.50952,0.02167,2.11586,1.87E-134,0.24081,7841
27,field8 = White & field10 = Hour36-50,field12 = >50K,0.57486,18718,0.15973,5201,0.27786,0.0213,1.15386,2.01E-44,0.24081,7841
28,field7 = Husband & field1 = Age51-60,field12 = >50K,0.07395,2408,0.03808,1240,0.51495,0.02027,2.13841,4.11E-113,0.24081,7841
29,field9 = Male & field1 = Age51-60,field12 = >50K,0.09146,2978,0.04171,1358,0.45601,0.01968,1.89366,3.01E-73,0.24081,7841
00002a,field5 = Married-civ-spouse & field10 = Hour51-70,field12 = >50K,0.06173,2010,0.03437,1119,0.55672,0.0195,2.31185,2.50E-94,0.24081,7841
00002b,field7 = Husband & field10 = Hour51-70,field12 = >50K,0.05918,1927,0.03311,1078,0.55942,0.01886,2.32308,6.94E-87,0.24081,7841
00002c,field9 = Male & field10 = Hour51-70,field12 = >50K,0.08182,2664,0.03771,1228,0.46096,0.01801,1.91421,2.88E-24,0.24081,7841
00002d,field10 = Hour51-70,field12 = >50K,0.09659,3145,0.04097,1334,0.42417,0.01771,1.76141,1.42E-126,0.24081,7841
00002e,field8 = White & field1 = Age51-60,field12 = >50K,0.11044,3596,0.0437,1423,0.39572,0.01711,1.64328,6.82E-14,0.24081,7841
00002f,field9 = Male & field1 = Age32-40,field12 = >50K,0.16507,5375,0.05676,1848,0.34381,0.017,1.42774,1.58E-60,0.24081,7841
30,field1 = Age51-60,field12 = >50K,0.12678,4128,0.04751,1547,0.37476,0.01698,1.55624,7.12E-95,0.24081,7841
